,x1,y1,z1,x2,y2,z2,duration,EfhLength,SlopeLength,RiseHeight,startV_label,endV_label
0,85760.56,36805.62,1209.92,85760.56,36805.62,1209.92,35.5,129.0977173,122.9449158,0.0,1,1
1,85790.33,36808.97,1209.05,85790.33,36808.97,1209.05,63.5,118.0907067,118.0907067,0.0,0,1
2,85790.33,36808.97,1209.05,85790.33,36808.97,1209.05,9.0,118.0907067,118.0997818,0.0,0,0
3,85759.14,36803.45,1209.31,85759.14,36803.45,1209.31,23.0,197.5594025,214.6248474,0.0,0,0
4,85790.33,36808.97,1209.05,85790.33,36808.97,1209.05,20.0,200.7570648,200.7570648,0.0,0,0
5,86184.7,36754.3,1166.38,86184.7,36754.3,1166.38,32.74,819.8540065,148.646236,38.62,1,1
6,86184.7,36754.3,1170.56,86184.7,36754.3,1170.56,54.07,1213.290345,227.7715123,29.84189933,1,1
7,86184.7,36754.3,1166.66,86184.7,36754.3,1166.66,47.25,981.5941099,231.7551869,38.33,1,1
8,86184.7,36754.3,1166.38,86184.7,36754.3,1166.38,37.0,819.8540065,157.5025625,38.53,1,1
9,86223.27,36793.52,1184.88,86223.27,36793.52,1184.88,64.0,769.3587903,220.3494895,18.79,1,1
10,86223.27,36793.52,1181.54,86223.27,36793.52,1181.54,56.5,980.0583308,219.8378514,23.47,1,1
11,85562.31,36663.86,1212.45,85562.31,36663.86,1212.45,30.0,344.0066223,253.3099213,1.809999943,0,1
12,85562.31,36663.86,1212.45,85562.31,36663.86,1212.45,31.5,361.4025192,283.1276456,1.16,0,0
13,86058.84,36371.86,876.58,86058.84,36371.86,876.58,30.61,390.4842367,113.6507082,9.02,1,1
14,86088.96,36382.34,880.37,86088.96,36382.34,880.37,35.67,390.4842367,163.8894567,9.1,1,1
15,85987.63,36257.25,885.05,85987.63,36257.25,885.05,31.96,157.9984208,148.8954145,0.15,1,1
16,85949.21,36302.9,884.87,85949.21,36302.9,884.87,36.75,349.6615153,143.0598219,0.17,1,1
17,85949.21,36302.9,884.87,85949.21,36302.9,884.87,40.33,349.6615153,141.5951355,0.0,1,1
18,85949.59,36329.06,885.0,85949.59,36329.06,885.0,29.23,149.396669,110.1384702,1.45,1,1
19,86103.72,36376.51,878.13,86103.72,36376.51,878.13,35.93,402.4811606,143.9230703,7.76209607,1,1
20,86058.84,36371.86,880.18,86058.84,36371.86,880.18,27.56,476.5614074,113.7146082,7.982199497,1,1
21,85992.84,36271.4,883.05,85992.84,36271.4,883.05,24.33,362.3341128,113.5030903,2.14,1,1
22,85987.63,36257.25,879.2,85987.63,36257.25,879.2,33.18,347.8044092,149.3252731,5.927876677,1,1
23,85987.63,36257.25,886.01,85987.63,36257.25,886.01,35.0,155.0533295,148.9337006,0.129999995,1,1
24,85942.54,36319.32,885.0,85942.54,36319.32,885.0,30.5,119.8057667,116.4778634,0.18,1,1
25,85993.84,36359.99,885.02,85993.84,36359.99,885.02,37.0,150.2592563,145.4215307,0.09,1,1
26,86195.08,36342.23,887.0,86195.08,36342.23,887.0,38.5,583.9782164,241.5262257,9.04,0,0
27,86006.01,36229.73,885.63,86006.01,36229.73,885.63,50.8,186.7617188,180.1596375,0.129999995,1,0
28,85951.95,36299.18,885.0,85951.95,36299.18,885.0,34.0,183.5286213,140.4606621,1.45,1,1
29,85949.07,36349.89,885.1,85949.07,36349.89,885.1,24.0,133.3149895,91.14867367,1.41,1,1
30,85995.26,36356.3,885.0,85995.26,36356.3,885.0,40.5,150.2592563,149.2795175,0.09,1,1
31,85949.21,36302.9,885.0,85949.21,36302.9,885.0,37.0,183.5286213,140.5400652,1.45,1,1
32,85995.26,36356.3,884.58,85995.26,36356.3,884.58,44.0,150.2592563,149.2868561,0.42,1,1
33,85992.84,36271.4,885.54,85992.84,36271.4,885.54,25.5,116.7769323,113.4626084,0.0,1,1
34,85950.27,36344.84,885.02,85950.27,36344.84,885.02,29.0,133.3149895,95.14639458,1.43,1,1
35,85979.3,36380.17,884.97,85979.3,36380.17,884.97,40.15,209.5945724,153.6726764,1.74,1,1
36,85976.84,36378.8,885.02,85976.84,36378.8,885.02,38.04,171.5718541,152.7024942,0.67,1,1
37,86032.69,36427.75,888.12,86032.69,36427.75,888.12,29.84,144.2426157,104.8613545,0.0,1,1
